trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.08789825,-115.1774826,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,88:9C:AD:41:02:AD,,infra,,2,0,?,?,?,False,112,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08808136,-115.17657471,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,88:9C:AD:41:02:CD,,infra,,2,0,?,?,?,False,56,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08866501,-115.17838287,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 16:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:02:ED,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0873909,-115.17430878,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:03:4D,,infra,,2,0,?,?,?,False,112,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08755112,-115.17707062,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 20:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:03:AD,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08874512,-115.17745972,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:03:ED,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0875473,-115.17755127,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:04:2D,,infra,,2,0,?,?,?,False,116,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08768463,-115.1764679,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,88:9C:AD:41:04:6D,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08876419,-115.17826843,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 16:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 11:00:00+00:00,88:9C:AD:41:04:8D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08810806,-115.17624664,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 21:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:05:2D,,infra,,2,0,?,?,?,False,108,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08979797,-115.18255615,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:05:6D,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,,,,89119-1001
36.08760071,-115.17623138,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,88:9C:AD:41:05:8D,,infra,,2,0,?,?,?,False,108,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08862686,-115.17842102,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 16:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 11:00:00+00:00,88:9C:AD:41:05:ED,,infra,,2,0,?,?,?,False,132,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08743668,-115.1780777,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:06:0D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08776093,-115.17663574,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 20:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,88:9C:AD:41:06:2D,,infra,,2,0,?,?,?,False,136,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
